category,view,like,dislike,month,year
Game,3051777,14936,1031,3,2016
Blog &amp; Orang,2102163,104864,1709,3,2016
Blog &amp; Orang,5245292,184199,4658,3,2016
Game,3357809,139536,1741,3,2016
Game,7102048,278622,4328,3,2016
Blog &amp; Orang,2728566,159525,2490,3,2016
Blog &amp; Orang,5089648,187480,2822,3,2016
Blog &amp; Orang,19077611,491085,8462,3,2016
Game,3301825,83503,1100,3,2016
Blog &amp; Orang,20787568,547542,8888,3,2016
Blog &amp; Orang,3997654,190677,1732,3,2016
Game,4265291,13491,1319,3,2016
Blog &amp; Orang,5163844,284903,4796,3,2016
Game,2901445,80611,2616,3,2016
Game,51130334,0,0,3,2016
Game,19077485,0,0,3,2016
Blog &amp; Orang,2829948,116489,2399,3,2016
Blog &amp; Orang,3142346,136119,5141,3,2016
Blog &amp; Orang,12996564,511551,8145,3,2016
Blog &amp; Orang,3778772,150145,4178,3,2016
Blog &amp; Orang,3304814,159056,1523,3,2016
Game,3360044,121204,1572,3,2016
Blog &amp; Orang,3402118,181688,3042,3,2016
Blog &amp; Orang,371491,15053,326,3,2016
Blog &amp; Orang,609146,23454,779,3,2016
Blog &amp; Orang,5902511,243215,18685,4,2016
Blog &amp; Orang,1168142,43754,481,4,2016
Game,2066063,53864,1221,4,2016
Game,2846887,104533,2051,4,2016
Game,19636909,521259,11189,4,2016
Blog &amp; Orang,3775213,165144,2756,4,2016
Game,12404703,343154,8579,4,2016
Game,1438285,52559,795,4,2016
Game,6872812,260839,5025,4,2016
Game,4957214,223993,3904,4,2016
Game,9030639,494866,10316,4,2016
Game,3748572,197765,1531,4,2016
Blog &amp; Orang,1013074,37980,304,4,2016
Blog &amp; Orang,8081798,213521,2480,4,2016
Game,4968156,218365,4116,4,2016
Blog &amp; Orang,9639559,459977,3198,4,2016
Blog &amp; Orang,2481248,76639,1314,4,2016
Game,9137545,303252,3468,4,2016
Game,5656227,254655,6134,4,2016
Blog &amp; Orang,2678803,106010,1292,4,2016
Blog &amp; Orang,4068130,151310,3316,4,2016
Blog &amp; Orang,1625222,60717,559,4,2016
Game,2395997,9422,471,4,2016
Game,6557160,210177,4233,4,2016
Game,6032062,305943,4353,4,2016
Game,7185040,182635,5844,4,2016
Game,7367589,336072,3382,4,2016
Game,17538063,279214,12126,4,2016
Game,1635701,63931,847,4,2016
Blog &amp; Orang,6253795,197146,6387,4,2016
Game,12354055,542976,5103,4,2016
Blog &amp; Orang,6727162,262527,3429,4,2016
