category,view,like,dislike,month,year,,,
Game,2652551,66407,817,3,2013,,,
Game,9231381,213620,3551,5,2014,,,
Blog &amp; Orang,2973584,139538,1261,3,2015,,,
Game,522622,13610,88,4,2012,,,
Komedi,2491624,57853,730,8,2012,,,
Game,4559058,273680,5250,11,2016,,,
Game,2452479,44478,999,9,2012,,,
Blog &amp; Orang,4556383,292125,4616,11,2016,,,
Game,3453099,50179,706,7,2012,,,
Game,6419830,148401,3327,1,2015,,,
Game,6709082,257672,3837,6,2015,,,
Blog &amp; Orang,1671590,55132,1406,3,2016,,,
Game,2687268,150781,1477,4,2015,,,
Game,701469,17606,104,3,2012,,,
Game,2733427,194015,1613,4,2015,,,
Komedi,6609854,340184,8496,4,2014,,,
Game,2846982,104064,1554,7,2015,,,
Game,3233766,166210,3050,5,2017,,,
Komedi,5442795,243992,3919,10,2017,,,
Game,2030247,72155,2058,8,2015,,,
Game,2844154,109669,2885,11,2015,,,
Game,4276018,97937,1585,9,2014,,,
Game,3874922,147530,1276,7,2014,,,
Game,9455334,257556,2555,1,2014,,,
Acara,3016831,53163,681,9,2012,,,
Game,5838020,249330,5868,8,2016,,,
Game,794249,21925,246,9,2012,,,
Game,2282041,62197,634,3,2013,,,
Game,4342240,70152,942,10,2012,,,
Game,6445775,459713,6621,7,2016,,,
Game,4155542,88103,1982,4,2014,,,
Game,6856704,183965,1599,9,2013,,,
Game,1307463,45232,570,10,2012,,,
Game,6602613,192851,3489,8,2014,,,
Komedi,9635856,481606,10368,7,2017,,,
Game,2707898,80292,851,9,2012,,,
Game,3334708,110301,3724,11,2015,,,
Komedi,5042037,176185,4654,-,0,,,
Game,2268168,17490,444,10,2011,,,
Game,2313443,52556,752,1,2013,,,
Game,419351,6881,39,1,2011,,,
Game,3561793,138921,2183,3,2015,,,
Game,1104011,36356,412,9,2012,,,
Game,2258533,50450,468,3,2013,,,
Game,1314064,21242,210,3,2012,,,
Game,4597791,236613,5316,7,2016,,,
Komedi,6136800,310148,6508,9,2017,,,
Game,5190750,226613,9239,3,2017,,,
Game,6445297,205800,4921,2,2015,,,
Game,7451261,267890,3031,3,2014,,,
Game,10439805,448023,2161,2,2015,,,
Game,8772569,344788,5498,6,2015,,,
Game,219038,9502,42,8,2011,,,
Game,21610782,313981,10589,7,2013,,,
Game,12758683,258176,3823,12,2013,,,
Game,19636909,521259,11189,4,2016,,,
Game,1464284,34207,568,3,2013,,,
Komedi,5736523,377710,13127,7,2017,,,
Game,5715543,86869,2323,9,2012,,,
Hiburan,6619832,343231,4878,9,2013,,,
Acara,4436732,66859,814,9,2012,,,
Game,5078829,93231,1983,11,2012,,,
Game,9234659,206335,5191,9,2015,,,
Game,39166874,854896,7907,10,2014,,,
Game,7531209,188660,2135,7,2014,,,
Game,5498128,240571,2592,9,2014,,,
Game,3923028,144683,1860,12,2015,,,
Game,11431580,205348,3051,5,2014,,,
Blog &amp; Orang,11909266,421811,7108,3,2016,,,
Game,2558817,120619,4667,1,2016,,,
Game,2439918,96081,1220,7,2014,,,
Game,5771533,171903,1680,5,2014,,,
Game,5500036,184251,1926,12,2015,,,
Game,2255547,88736,907,10,2014,,,
Game,3467196,131649,1290,3,2015,,,
Game,4158783,105647,2239,8,2014,,,
Game,3432969,86614,1240,4,2013,,,
Game,7186429,248105,1840,10,2014,,,
Game,6217229,111349,1698,11,2012,,,
Game,3744295,142802,1154,5,2014,,,
Game,3110049,145114,2136,12,2017,,,
Game,4561003,149973,3198,9,2015,,,
Game,3912771,95465,930,4,2014,,,
Game,8704634,102652,3247,5,2012,,,
Komedi,10080702,425325,3583,4,2015,,,
Game,1051615,38138,257,8,2012,,,
Game,4830411,168316,1383,6,2014,,,
Komedi,2408857,86912,1515,10,2017,,,
Game,3759409,55930,1230,2,2013,,,
Game,1168109,31123,237,1,2011,,,
Game,7362048,253170,4098,11,2016,,,
Game,1464518,51762,1154,2,2013,,,
Game,5254477,210784,1773,6,2013,,,
Game,6258339,91534,2258,7,2012,,,
Game,5798765,141252,2347,12,2014,,,
Game,5539327,90909,3088,1,2013,,,
Game,1892482,60824,568,3,2013,,,
Game,1273854,46662,455,3,2013,,,
Game,676299,16784,134,3,2012,,,
Game,1421443,65955,530,4,2013,,,
Hiburan,309073,12104,57,3,2012,,,
Game,13654956,351484,3150,4,2014,,,
Blog &amp; Orang,3047066,228380,1516,2,2015,,,
Game,3761450,85785,2005,4,2014,,,
Game,4358358,160415,3319,6,2016,,,
Game,4366044,158159,1317,8,2014,,,
Komedi,5600668,194714,13804,11,2017,,,
Game,4732232,191355,4209,1,2018,,,
Game,3893382,163013,1465,6,2014,,,
Game,2363058,81988,1879,12,2015,,,
Game,926429,29941,339,8,2012,,,
Game,7519980,457557,4431,7,2016,,,
Komedi,3708338,188420,4237,12,2017,,,
Game,7282687,313117,2779,5,2015,,,
Game,7065405,245672,2721,8,2015,,,
Game,5929078,275462,3543,1,2017,,,
Game,4345976,163142,2535,9,2014,,,
Game,4368634,213893,9006,4,2017,,,
Game,5186258,142341,2055,2,2013,,,
Game,4328113,62523,997,6,2012,,,
Blog &amp; Orang,3775213,165144,2756,4,2016,,,
Musik,12795864,374570,12610,10,2014,,,
Game,1306977,32831,343,10,2012,,,
Game,586176,10050,119,12,2011,,,
Hiburan,3433723,83048,424,1,2012,,,
Game,447154,11987,84,6,2012,,,
Game,4035671,71293,966,9,2012,,,
Game,4866443,247896,2358,5,2016,,,
Game,228281,8406,42,2,2012,,,
Acara,6652337,106251,2082,9,2012,,,
Game,7397453,153336,2049,10,2012,,,
Game,4063602,173421,4202,12,2017,,,
Game,961933,20463,327,10,2012,,,
Game,13267014,346879,8854,9,2014,,,
Hiburan,4527943,191255,1419,12,2014,,,
Game,4500972,154964,2241,9,2015,,,
Blog &amp; Orang,11843868,397569,4691,3,2016,,,
Komedi,4815558,164712,3428,10,2012,,,
Game,5670990,249784,2618,1,2015,,,
Komedi,4748973,296214,4493,1,2018,,,
Game,1915348,48843,650,11,2012,,,
Cara &amp; Gaya,3679918,262550,3577,11,2017,,,
Game,1177043,30149,424,11,2012,,,
Game,1266988,88646,935,3,2013,,,
Game,3101205,135928,1742,8,2013,,,
Game,2575806,71553,862,4,2013,,,
Game,3218687,51307,1158,10,2012,,,
Blog &amp; Orang,2659425,114532,1198,4,2013,,,
Komedi,2689316,154347,2536,10,2017,,,
Game,4572099,137000,1608,10,2014,,,
Game,8847544,324846,2395,3,2015,,,
Game,3685621,185032,6370,10,2016,,,
Game,5726650,159366,7814,1,2016,,,
Blog &amp; Orang,2970483,92195,2072,10,2014,,,
Game,1452528,44947,504,2,2016,,,
Game,8442997,311302,5654,5,2015,,,
Game,780700,17772,273,9,2012,,,
Game,10851396,159740,3326,3,2014,,,
Game,8263778,150142,2199,9,2012,,,
Komedi,3158569,167184,3794,9,2017,,,
Komedi,9646199,384906,8754,10,2017,,,
Film &amp; Animasi,7100390,201473,2885,10,2014,,,
Game,129464,3712,31,6,2011,,,
Game,4669203,179853,2363,4,2013,,,
Game,7697372,293236,5716,1,2017,,,
Komedi,13574176,437154,4209,11,2013,,,
Game,12404703,343154,8579,4,2016,,,
Game,1348246,43255,434,8,2012,,,
Game,8216437,220480,3443,10,2014,,,
Game,2048424,46643,526,8,2012,,,
Game,11711690,457981,9532,12,2016,,,
Game,12251593,268499,5315,7,2014,,,
Game,3631039,151965,1448,3,2015,,,
Game,6733156,275900,2082,6,2014,,,
