,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video,,,0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,United States,Gaming,4/29/2010,61006277,3424,
127,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,Sint-Maarten,Music,9/9/2009,10216304,56,,,,,,,,,,,
128,UCj0O6W8yDuLg3iraAXKgCrQ,Voc̻ Sabia?,Brazil,Entertainment,9/1/2013,10192333,456,,,,,,,,,,,
129,UCGt7X90Au6BV8rf49BiM6Dg,Ray  William Johnson,United States,Entertainment,5/26/2008,10091272,821,,,,,,,,,,,
130,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,-,Film and Animation,12/21/2010,10040428,1351,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
132,UCqdGW_m8Rim4FeMM29keDEg,FunToys Collector Disney Toys Review,Sint-Maarten,Entertainment,4/13/2011,10008651,2387,,,,,,,,,,,
133,UCddYq41_tZ1FnLlguLT6-Ow,Parafernalha,Brazil,Entertainment,5/13/2011,10006882,586,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
135,UCMJ5Qf3sOvQpcYiai1Noa3Q,Major Lazer,Jamaica,Music,4/30/2009,9972307,199,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
